DATE,DAY_OF_HOLIDAY,HOLIDAY,OUT_OF_OFFICE,DOW_OUT_OF_OFFICE,OUT_OF_OFFICE_WHEN
2000-01-01,Sat,New Year's Day,2000-01-03,Mon,Monday after
2000-01-17,Mon,"Martin Luther King, Jr. Day",2000-01-17,Mon,Day of
2000-02-21,Mon,Presidents Day,2000-02-21,Mon,Day of
2000-05-29,Mon,Memorial Day,2000-05-29,Mon,Day of
2000-07-04,Tue,Independence Day,2000-07-04,Tue,Day of
2000-09-04,Mon,Labor Day,2000-09-04,Mon,Day of
2000-10-09,Mon,Columbus Day,2000-10-09,Mon,Day of
2000-11-23,Thu,Thanksgiving Day,2000-11-23,Thu,Day of
2000-11-24,Fri,Day After Thanksgiving,2000-11-24,Fri,Day of
2000-12-25,Mon,Christmas Day,2000-12-25,Mon,Day of
2001-01-01,Mon,New Year's Day,2001-01-01,Mon,Day of
2001-01-15,Mon,"Martin Luther King, Jr. Day",2001-01-15,Mon,Day of
2001-02-19,Mon,Presidents Day,2001-02-19,Mon,Day of
2001-05-28,Mon,Memorial Day,2001-05-28,Mon,Day of
2001-07-04,Wed,Independence Day,2001-07-04,Wed,Day of
2001-09-03,Mon,Labor Day,2001-09-03,Mon,Day of
2001-10-08,Mon,Columbus Day,2001-10-08,Mon,Day of
2001-11-22,Thu,Thanksgiving Day,2001-11-22,Thu,Day of
2001-11-23,Fri,Day After Thanksgiving,2001-11-23,Fri,Day of
2001-12-25,Tue,Christmas Day,2001-12-25,Tue,Day of
2002-01-01,Tue,New Year's Day,2002-01-01,Tue,Day of
2002-01-21,Mon,"Martin Luther King, Jr. Day",2002-01-21,Mon,Day of
2002-02-18,Mon,Presidents Day,2002-02-18,Mon,Day of
2002-05-27,Mon,Memorial Day,2002-05-27,Mon,Day of
2002-07-04,Thu,Independence Day,2002-07-04,Thu,Day of
2002-09-02,Mon,Labor Day,2002-09-02,Mon,Day of
2002-10-14,Mon,Columbus Day,2002-10-14,Mon,Day of
2002-11-28,Thu,Thanksgiving Day,2002-11-28,Thu,Day of
2002-11-29,Fri,Day After Thanksgiving,2002-11-29,Fri,Day of
2002-12-25,Wed,Christmas Day,2002-12-25,Wed,Day of
2003-01-01,Wed,New Year's Day,2003-01-01,Wed,Day of
2003-01-20,Mon,"Martin Luther King, Jr. Day",2003-01-20,Mon,Day of
2003-02-17,Mon,Presidents Day,2003-02-17,Mon,Day of
2003-05-26,Mon,Memorial Day,2003-05-26,Mon,Day of
2003-07-04,Fri,Independence Day,2003-07-04,Fri,Day of
2003-09-01,Mon,Labor Day,2003-09-01,Mon,Day of
2003-10-13,Mon,Columbus Day,2003-10-13,Mon,Day of
2003-11-27,Thu,Thanksgiving Day,2003-11-27,Thu,Day of
2003-11-28,Fri,Day After Thanksgiving,2003-11-28,Fri,Day of
2003-12-25,Thu,Christmas Day,2003-12-25,Thu,Day of
2004-01-01,Thu,New Year's Day,2004-01-01,Thu,Day of
2004-01-19,Mon,"Martin Luther King, Jr. Day",2004-01-19,Mon,Day of
2004-02-16,Mon,Presidents Day,2004-02-16,Mon,Day of
2004-05-31,Mon,Memorial Day,2004-05-31,Mon,Day of
2004-07-04,Sun,Independence Day,2004-07-05,Mon,Monday after
2004-09-06,Mon,Labor Day,2004-09-06,Mon,Day of
2004-10-11,Mon,Columbus Day,2004-10-11,Mon,Day of
2004-11-25,Thu,Thanksgiving Day,2004-11-25,Thu,Day of
2004-11-26,Fri,Day After Thanksgiving,2004-11-26,Fri,Day of
2004-12-25,Sat,Christmas Day,2004-12-27,Mon,Monday after
2005-01-01,Sat,New Year's Day,2005-01-03,Mon,Monday after
2005-01-17,Mon,"Martin Luther King, Jr. Day",2005-01-17,Mon,Day of
2005-02-21,Mon,Presidents Day,2005-02-21,Mon,Day of
2005-05-30,Mon,Memorial Day,2005-05-30,Mon,Day of
2005-07-04,Mon,Independence Day,2005-07-04,Mon,Day of
2005-09-05,Mon,Labor Day,2005-09-05,Mon,Day of
2005-10-10,Mon,Columbus Day,2005-10-10,Mon,Day of
2005-11-24,Thu,Thanksgiving Day,2005-11-24,Thu,Day of
2005-11-25,Fri,Day After Thanksgiving,2005-11-25,Fri,Day of
2005-12-25,Sun,Christmas Day,2005-12-26,Mon,Monday after
2006-01-01,Sun,New Year's Day,2006-01-02,Mon,Monday after
2006-01-16,Mon,"Martin Luther King, Jr. Day",2006-01-16,Mon,Day of
2006-02-20,Mon,Presidents Day,2006-02-20,Mon,Day of
2006-05-29,Mon,Memorial Day,2006-05-29,Mon,Day of
2006-07-04,Tue,Independence Day,2006-07-04,Tue,Day of
2006-09-04,Mon,Labor Day,2006-09-04,Mon,Day of
2006-10-09,Mon,Columbus Day,2006-10-09,Mon,Day of
2006-11-23,Thu,Thanksgiving Day,2006-11-23,Thu,Day of
2006-11-24,Fri,Day After Thanksgiving,2006-11-24,Fri,Day of
2006-12-25,Mon,Christmas Day,2006-12-25,Mon,Day of
2007-01-01,Mon,New Year's Day,2007-01-01,Mon,Day of
2007-01-15,Mon,"Martin Luther King, Jr. Day",2007-01-15,Mon,Day of
2007-02-19,Mon,Presidents Day,2007-02-19,Mon,Day of
2007-05-28,Mon,Memorial Day,2007-05-28,Mon,Day of
2007-07-04,Wed,Independence Day,2007-07-04,Wed,Day of
2007-09-03,Mon,Labor Day,2007-09-03,Mon,Day of
2007-10-08,Mon,Columbus Day,2007-10-08,Mon,Day of
2007-11-22,Thu,Thanksgiving Day,2007-11-22,Thu,Day of
2007-11-23,Fri,Day After Thanksgiving,2007-11-23,Fri,Day of
2007-12-25,Tue,Christmas Day,2007-12-25,Tue,Day of
2008-01-01,Tue,New Year's Day,2008-01-01,Tue,Day of
2008-01-21,Mon,"Martin Luther King, Jr. Day",2008-01-21,Mon,Day of
2008-02-18,Mon,Presidents Day,2008-02-18,Mon,Day of
2008-05-26,Mon,Memorial Day,2008-05-26,Mon,Day of
2008-07-04,Fri,Independence Day,2008-07-04,Fri,Day of
2008-09-01,Mon,Labor Day,2008-09-01,Mon,Day of
2008-10-13,Mon,Columbus Day,2008-10-13,Mon,Day of
2008-11-27,Thu,Thanksgiving Day,2008-11-27,Thu,Day of
2008-11-28,Fri,Day After Thanksgiving,2008-11-28,Fri,Day of
2008-12-25,Thu,Christmas Day,2008-12-25,Thu,Day of
2009-01-01,Thu,New Year's Day,2009-01-01,Thu,Day of
2009-01-19,Mon,"Martin Luther King, Jr. Day",2009-01-19,Mon,Day of
2009-02-16,Mon,Presidents Day,2009-02-16,Mon,Day of
2009-05-25,Mon,Memorial Day,2009-05-25,Mon,Day of
2009-07-04,Sat,Independence Day,2009-07-03,Fri,Friday before
2009-09-07,Mon,Labor Day,2009-09-07,Mon,Day of
2009-10-12,Mon,Columbus Day,2009-10-12,Mon,Day of
2009-11-26,Thu,Thanksgiving Day,2009-11-26,Thu,Day of
2009-11-27,Fri,Day After Thanksgiving,2009-11-27,Fri,Day of
2009-12-25,Fri,Christmas Day,2009-12-25,Fri,Day of
2010-01-01,Fri,New Year's Day,2010-01-01,Fri,Day of
2010-01-18,Mon,"Martin Luther King, Jr. Day",2010-01-18,Mon,Day of
2010-02-15,Mon,Presidents Day,2010-02-15,Mon,Day of
2010-05-31,Mon,Memorial Day,2010-05-31,Mon,Day of
2010-07-04,Sun,Independence Day,2010-07-05,Mon,Monday after
2010-09-06,Mon,Labor Day,2010-09-06,Mon,Day of
2010-10-11,Mon,Columbus Day,2010-10-11,Mon,Day of
2010-11-25,Thu,Thanksgiving Day,2010-11-25,Thu,Day of
2010-11-26,Fri,Day After Thanksgiving,2010-11-26,Fri,Day of
2010-12-25,Sat,Christmas Day,2010-12-27,Mon,Monday after
2011-01-01,Sat,New Year's Day,2011-01-03,Mon,Monday after
2011-01-17,Mon,"Martin Luther King, Jr. Day",2011-01-17,Mon,Day of
2011-02-21,Mon,Presidents Day,2011-02-21,Mon,Day of
2011-05-30,Mon,Memorial Day,2011-05-30,Mon,Day of
2011-07-04,Mon,Independence Day,2011-07-04,Mon,Day of
2011-09-05,Mon,Labor Day,2011-09-05,Mon,Day of
2011-10-10,Mon,Columbus Day,2011-10-10,Mon,Day of
2011-11-24,Thu,Thanksgiving Day,2011-11-24,Thu,Day of
2011-11-25,Fri,Day After Thanksgiving,2011-11-25,Fri,Day of
2011-12-25,Sun,Christmas Day,2011-12-26,Mon,Monday after
